iter	Passed	Remaining
0	9	9708
1	18	8989
2	25	8475
3	33	8299
4	40	7997
5	48	8084
6	55	7871
7	64	7978
8	71	7829
9	82	8122
10	88	8000
11	97	8061
12	105	7998
13	114	8049
14	121	7947
15	130	8035
16	138	8009
17	146	7987
18	153	7944
19	162	7952
20	169	7904
21	178	7913
22	184	7849
23	194	7919
24	202	7894
25	210	7887
26	218	7869
27	227	7887
28	234	7853
29	243	7866
30	250	7845
31	259	7859
32	267	7836
33	276	7867
34	284	7832
35	292	7822
36	299	7790
37	307	7781
38	314	7749
39	323	7757
40	332	7773
41	341	7780
42	349	7770
43	356	7741
44	362	7699
45	370	7692
46	377	7660
47	386	7663
48	394	7663
49	405	7703
50	412	7679
51	420	7663
52	427	7633
53	435	7634
54	442	7597
55	450	7597
56	457	7572
57	467	7595
58	474	7569
59	482	7565
60	489	7541
61	498	7536
62	505	7512
63	513	7508
64	519	7474
65	526	7452
66	534	7437
67	540	7410
68	548	7406
69	555	7380
70	564	7386
71	572	7372
72	581	7388
73	588	7370
74	598	7382
75	606	7370
76	616	7385
77	625	7394
78	633	7387
79	642	7389
80	650	7382
81	659	7387
82	667	7373
83	678	7398
84	685	7383
85	695	7391
86	702	7372
87	714	7404
88	721	7384
89	729	7371
90	735	7345
91	744	7346
92	751	7325
93	760	7330
94	767	7310
95	776	7311
96	783	7289
97	793	7300
98	799	7272
99	808	7275
100	816	7264
101	825	7266
102	832	7247
103	842	7256
104	849	7242
105	863	7281
106	875	7306
107	887	7330
108	897	7336
109	910	7368
110	921	7382
111	929	7369
112	941	7393
113	953	7409
114	963	7411
115	972	7410
116	980	7396
117	989	7398
118	997	7388
119	1007	7388
120	1016	7386
121	1025	7376
122	1035	7386
123	1043	7374
124	1055	7389
125	1066	7400
126	1077	7403
127	1089	7420
128	1098	7418
129	1107	7408
130	1118	7422
131	1127	7413
132	1136	7409
133	1144	7398
134	1152	7387
135	1161	7379
136	1169	7368
137	1179	7366
138	1187	7353
139	1196	7346
140	1203	7330
141	1212	7326
142	1219	7309
143	1227	7298
144	1234	7278
145	1241	7261
146	1249	7249
147	1255	7229
148	1264	7223
149	1271	7207
150	1280	7197
151	1287	7182
152	1295	7169
153	1301	7151
154	1309	7138
155	1315	7117
156	1321	7093
157	1327	7076
158	1333	7053
159	1340	7039
160	1346	7016
161	1352	6994
162	1359	6981
163	1365	6960
164	1374	6953
165	1381	6941
166	1391	6938
167	1398	6924
168	1408	6923
169	1415	6911
170	1426	6917
171	1437	6920
172	1444	6907
173	1453	6900
174	1461	6889
175	1470	6882
176	1477	6868
177	1486	6865
178	1495	6859
179	1504	6855
180	1514	6851
181	1523	6845
182	1528	6823
183	1535	6809
184	1541	6788
185	1543	6754
186	1550	6740
187	1556	6721
188	1561	6700
189	1569	6690
190	1574	6669
191	1581	6654
192	1586	6635
193	1592	6616
194	1599	6603
195	1605	6584
196	1610	6565
197	1617	6553
198	1623	6534
199	1630	6522
200	1636	6503
201	1641	6484
202	1649	6476
203	1654	6457
204	1663	6449
205	1669	6434
206	1674	6416
207	1681	6404
208	1687	6385
209	1693	6371
210	1701	6360
211	1707	6348
212	1716	6342
213	1724	6334
214	1734	6332
215	1744	6332
216	1752	6322
217	1761	6317
218	1767	6304
219	1777	6300
220	1785	6291
221	1793	6286
222	1800	6273
223	1808	6265
224	1815	6252
225	1823	6243
226	1830	6233
227	1840	6230
228	1847	6220
229	1856	6214
230	1862	6199
231	1868	6185
232	1875	6175
233	1881	6158
234	1888	6147
235	1894	6131
236	1899	6114
237	1908	6110
238	1914	6094
239	1921	6083
240	1927	6069
241	1932	6052
242	1942	6050
243	1949	6040
244	1957	6030
245	1962	6015
246	1969	6004
247	1977	5994
248	1986	5992
249	1993	5980
250	1999	5965
251	2006	5956
252	2012	5941
253	2019	5931
254	2025	5916
255	2030	5901
256	2037	5891
257	2043	5876
258	2088	5974
259	2106	5996
260	2128	6026
261	2153	6067
262	2170	6082
263	2193	6114
264	2205	6116
265	2212	6104
266	2221	6098
267	2227	6084
268	2237	6079
269	2244	6067
270	2253	6060
271	2260	6050
272	2269	6043
273	2276	6032
274	2285	6025
275	2291	6009
276	2300	6004
277	2307	5993
278	2315	5982
279	2320	5967
280	2326	5953
281	2332	5939
282	2337	5923
283	2344	5911
284	2349	5895
285	2355	5879
286	2362	5868
287	2367	5852
288	2373	5838
289	2380	5827
290	2385	5812
291	2393	5802
292	2398	5787
293	2403	5771
294	2410	5761
295	2416	5746
296	2421	5730
297	2428	5720
298	2433	5705
299	2440	5694
300	2448	5684
301	2456	5676
302	2462	5663
303	2467	5648
304	2474	5637
305	2479	5623
306	2484	5608
307	2491	5598
308	2496	5583
309	2502	5569
310	2508	5558
311	2514	5543
312	2520	5533
313	2526	5518
314	2531	5504
315	2539	5496
316	2546	5485
